id,name,height,weight,flat_abilities
11,metapod,7,99,
14,kakuna,6,100,
16,pidgey,3,18,
30,nidorina,8,200,
12,butterfree,11,320,
45,vileplume,12,186,
41,zubat,8,75,
35,clefairy,6,75,
42,golbat,16,550,
10,caterpie,3,29,
44,gloom,8,86,
18,pidgeot,15,395,
32,nidoran-m,5,90,
29,nidoran-f,4,70,
50,diglett,2,8,
37,vulpix,6,99,
19,rattata,3,35,
13,weedle,3,32,
46,paras,3,54,
31,nidoqueen,13,600,
23,ekans,20,69,
25,pikachu,4,60,
22,fearow,12,380,
34,nidoking,14,620,
27,sandshrew,6,120,
33,nidorino,9,195,
15,beedrill,10,295,
26,raichu,8,300,
48,venonat,10,300,
21,spearow,3,20,
38,ninetales,11,199,
17,pidgeotto,11,300,
39,jigglypuff,5,55,
47,parasect,10,295,
43,oddish,5,54,
28,sandslash,10,295,
36,clefable,13,400,
40,wigglytuff,10,120,
24,arbok,35,650,
49,venomoth,15,125,
20,raticate,7,185,
